resume_text,job_description
"Python pandas numpy machine learning","Looking for python sql machine learning"
"Java dsa oop","Java developer with dsa skills"
"HTML CSS javascript react","Frontend developer with react javascript"
"Python data analysis pandas","Data analyst with python sql"
"Deep learning tensorflow python","AI engineer with deep learning tensorflow"
"Java spring boot sql","Backend developer java sql"
"Python numpy pandas aws","Cloud data engineer with aws python"
"C++ dsa algorithms","Software engineer with c++ dsa"
"HTML CSS bootstrap","Frontend developer html css"
"Python machine learning numpy","ML engineer with python ml"
"Javascript react node","Full stack developer react node"
"Python sql data analysis","Data analyst sql python"
"Java microservices aws","Backend developer java aws"
"React javascript css","Frontend react developer"
"Python deep learning tensorflow","AI developer tensorflow"
"Node express javascript","Backend node developer"
"SQL database management","Database admin sql"
"Python pandas data analysis","Data analyst pandas"
"C++ oop dsa","Software developer c++"
"AWS cloud devops","Cloud engineer aws"
"Python numpy matplotlib","Data science python"
"Java spring mvc","Java developer spring"
"HTML css javascript","Frontend web developer"
"Python machine learning","ML engineer python"
"React redux javascript","Frontend react redux"
"Node mongodb express","Backend node mongodb"
"SQL queries joins","Database sql developer"
"Python tensorflow keras","Deep learning engineer"
"Java hibernate sql","Backend java sql"
"HTML css bootstrap","Frontend html css"
"Python data analysis numpy","Data analyst python"
"C++ algorithms dsa","Software engineer c++"
"AWS cloud security","Cloud engineer aws"
"Python pandas numpy","Data science python"
"Java spring boot microservices","Backend java developer"
"React javascript hooks","Frontend react developer"
"Node express api","Backend node api"
"SQL database design","Database designer sql"
"Python machine learning sklearn","ML engineer python"
"Tensorflow deep learning","AI engineer tensorflow"
"Java oop dsa","Software developer java"
"HTML css javascript react","Frontend developer react"
"Python data analysis pandas numpy","Data analyst python"
"C++ dsa algorithms","Software engineer c++"
"AWS cloud architecture","Cloud architect aws"
"Python numpy pandas matplotlib","Data science python"
"Java spring security","Backend java developer"
"React javascript ui","Frontend react developer"
"Node express backend","Backend node developer"
"SQL queries optimization","Database sql engineer"